; 的
a 下
a' 一个
a/ 一个
a; 可
aa 一
aa 亍
abu 殪
ack 殭
ad 于
ad 盂
ae 刊
aeb 型
aec 殣
aed 干
aeg 顸
aek 刑
ael 殖
aep 形
aeu 烎
aev 开
aey 邢
aey 邗
afv 末
agi 蚕
agj 吞
ago 顶
agr 无
agu 忝
ahi 武
ahm 残
ahr 鹉
aia 丁
aia 丅
aii 正
aii 颪
aim 政
aiv 焉
aiw 忑
aiy 鄢
aiz 丐
ajb 豇
aji 融
ajj 哥
ajk 副
ajl 殒
ajl 鬲
ajo 吏
ajr 歌
aju 豆
ajx 豉
ajy 豌
ajy 翮
akb 垩
akd 列
akh 戬
akk 晋
akm 严
ako 更
aks 裂
aku 亚
akv 烈
akw 恶
aky 鄑
akz 画
alb 再
alc 殂
alg 殃
ali 巿
all 丽
alr 鹂
aly 郦
ame 歼
amk 殊
amo 殇
and 卅
and 丌
anh 戛
ank 百
ann 奡
ann 皕
anr 夏
aoo 餮
aop 殄
aos 丈
aov 殓
apy 殍
aqx 殁
ara 歹
ark 殉
arr 死
aua 平
aue 殚
auo 灭
av 天
awo 殡
axy 郪
axz 妻
ay 万
ay 殛
ay 趸
ay 劢
ay 虿
az 与
azj 殆
azr 欤
azs 瓦
b 来
b' 工作
b/ 工作
b; 去
ba 士
ba; 考
baa 土
bad 圩
bae 赶
bai 圢
baj 坷
bak 趔
bak 垭
bal 塥
bao 埂
bau 坪
baz 巧
bbb 垚
bbb 堼
bbd 封
bbi 卦
bbk 垣
bbm 堵
bbr 款
bbv 圭
bbw 恚
bby 邽
bbz 坛
bbz 圬
bco 堾
bcx 趣
bda 二
bdk 亘
bds 寺
bdy 邿
bdz 亏
be 墙
beb 坩
bec 墐
bef 堞
bej 塔
bel 埴
beo 填
bey 墈
bey 墘
bez 堪
bfb 埔
bfb 堙
bga 坯
bgb 堐
bgg 堧
bgi 坏
bgj 埼
bgk 塬
bgm 垅
bgo 项
bgy 坜
bgz 垮
bgz 埯
bha 域
bhb 垤
bhm 越
bhy 城
bhz 堰
bhz 坉
bia 工
bid 赴
bii 址
bij 坫
bik 墟
bil 盐
bix 五
bix 垆
biy 韦
biy 邛
bj 喜
bjc 埕
bje 鼙
bjg 颉
bjj 嘉
bjj 喆
bjj 囍
bjj 堌
bjj 嚭
bjl 瞽
bjl 埙
bjo 埚
bjp 彭
bjr 袁
bjs 甏
bjv 吉
bjv 熹
bjw 憙
bjx 鼓
bjy 劼
bk 示
bka 坦
bkb 埋
bkb 墼
bkd 埘
bke 垾
bkg 垙
bki 坤
bkj 軎
bkk 漦
bkl 趟
bkl 赉
bko 未
bko 埸
bkr 堨
bku 墣
bkv 堤
bkv 汞
bkw 慭
bkx 墁
bkx 垱
bky 塌
bkz 嫠
blc 趄
blc 坥
bld 垌
bld 坰
bli 堽
blo 贡
blo 坝
bls 塄
bly 垲
bma 者
bma 耂
bmb 埵
bme 埠
bme 圲
bmh 圫
bml 趱
bmo 攻
bmv 煮
bmy 都
bmy 圪
bn 井
bn; 赤
bnb 赭
bnd 圳
bnd 亓
bne 埤
bni 堆
bni 螫
bnj 垧
bnl 垍
bnl 赪
bnm 赦
bnm 堠
bno 赫
bnq 塅
bnx 赧
bny 郝
boa 走
bod 夫
boh 辇
bok 替
bol 规
bol 觋
bol 鬶
bom 摰
boo 巫
bop 趁
bor 鹀
bos 赵
bow 埝
bow 坽
boy 坋
bpd 圻
bpd 埒
bpj 垢
bpk 墦
bps 坼
bps 坬
bpx 坂
bpy 垺
bqf 垛
bqi 蛩
bqj 跫
bqp 銎
bqq 堋
bqs 巩
bqs 坍
bqw 恐
brd 元
brg 顽
brh 耋
brj 耇
brj 垎
brk 耆
brl 埆
brm 耄
bro 坎
brp 鋆
brr 老
brs 坻
brs 堍
brt 均
brx 趋
brz 坞
brz 鼋
bse 壤
bsg 壕
bsj 培
bsl 墒
bsm 墩
bso 坟
bso 垓
bsq 坑
bsr 境
bss 塝
bsu 垃
bsv 圡
bsx 埌
bsy 坊
bsz 垴
btg 圹
btj 塘
btq 墉
btr 趑
btx 垿
bub 幸
buc 垟
bug 颊
buj 墡
buk 增
buo 夹
buy 郏
bv 起
bv 墚
bwb 埪
bwg 垯
bwh 垞
bwk 壶
bwq 壳
bwq 彀
bwq 毂
bwq 觳
bwq 榖
bwq 縠
bwr 垸
bwr 坨
bwu 壹
bww 懿
bww 悫
bwz 志
bwz 忈
bxb 垏
bxg 块
bxg 磬
bxi 坡
bxj 吾
bxk 馨
bxk 埭
bxl 罄
bxl 埽
bxl 埇
bxm 声
bxm 墀
bxm 敔
bxo 垠
bxr 坭
bxs 謦
bxy 郚
bxz 堀
by 教
bya 孝
byi 埏
byj 超
byl 韫
bym 功
byn 韬
byo 场
byo 巭
bys 圾
bys 韧
bys 韨
byy 起
byy 圮
byy 翥
byy 圯
bz 互
bz; 动
bzd 云
bze 弆
bzg 毐
bzi 击
bzi 赳
bzk 叇
bzl 盍
bzm 埃
bzn 魂
bzs 专
bzx 叆
bzy 却
bzy 劫
bzy 坳
bzy 坶
c 现
c' 现在
c/ 现在
c; 理
caa 王
caa ⺩
cae 玕
cag 奏
cai 玎
cai 耵
cai 珷
caj 珂
cak 瑨
car 耰
cau 玶
cbb 珪
cbi 奉
cbj 珸
cbn 耕
cbo 玞
cbr 玩
cby 玮
cbz 耘
cbz 珐
ccb 琫
cce 珥
cci 玤
ccm 瑟
cco 珡
cco 瑃
ccr 琵
ccs 珏
ccv 玨
ccw 慧
ccx 琴
ccx 彗
ccy 琶
ccy 酆
cds 球
cea 耳
ceb 耩
cec 琪
cec 瑾
ceg 瑛
cek 耤
cem 璥
cen 瓘
ceo 璜
ceo 珙
ceo 瑱
ceq 瑚
cev 弄
cey 耶
cey 耢
cff 琳
cfg 瓀
cfl 瑓
cgd 耨
cgi 环
cgj 琦
cgm 珑
cgo 顼
cgq 珛
cgs 琢
ch 长
ch 琊
ch 镸
ch 長
ch 玭
ci 耻
cia 丰
cia 龶
cig 砉
cig 璩
cii 蠢
cij 玷
ciq 青
