的	;
是	k
了	y
在	g
人	o
我	m
他	n
有	gv
中	j
来	b
上	i
大	d
为	u
到	h
会	ov
你	nv
以	z
子	yv
年	hh
就	s
得	dd
家	w
下	a
发	zv
好	hv
后	p
天	av
用	l
然	r
起	bv
没	v
现	c
前	uv
想	f
又	x
些	iv
见	lv
月	q
头	t
三	cv
外	rv
世	e
不	g;
这	w;
国	j;
个	o;
和	m;
们	n;
说	s;
地	d;
也	y;
要	f;
出	z;
着	u;
对	x;
可	a;
里	k;
去	b;
多	r;
成	h;
学	v;
同	l;
理	c;
所	p;
点	i;
问	t;
其	e;
几	q;
一	aa
时	kd
生	mc
过	wd
之	wa
么	mz
经	zx
日	ka
于	ad
心	wz
方	sy
面	gj
法	vb
全	oc
长	ch
当	kx
与	az
关	ug
十	ed
已	yy
情	uc
等	mb
话	sm
但	nk
使	na
女	zm
太	gs
制	ml
利	mk
名	rj
气	my
水	kv
教	by
入	od
打	da
济	vs
数	uz
常	kj
任	nm
万	ay
神	wi
改	ym
军	wh
边	wy
代	nh
爱	pw
思	kw
张	yc
品	jj
许	se
必	wm
组	zl
近	wp
完	wb
该	ss
司	ya
则	lk
际	yb
士	ba
示	bk
省	km
视	wl
罗	lr
标	fb
容	wo
跟	jx
英	el
音	sk
质	pe
争	rx
纪	zy
喜	bj
势	dq
协	ey
晚	kr
曾	ul
令	ow
送	wu
古	ej
赛	we
校	fs
微	ol
刻	sz
网	lo
医	hm
底	tr
律	ox
称	mr
策	mf
假	nx
细	zk
既	xh
普	uk
密	ww
爷	oo
劳	ew
预	xg
啊	jy
欧	ho
胜	qm
泽	vx
属	xm
靠	mj
温	vk
互	bz
贵	ji
暗	ks
控	dw
湖	ve
藏	eh
促	nj
异	ye
忘	sw
窗	wn
刊	ae
齐	sn
压	gb
审	wk
扬	dy
贫	oy
唱	jk
灯	ua
抱	dr
厅	ga
录	xk
付	nd
刀	yd
误	sj
敌	mm
授	dp
墙	be
避	wx
刺	fl
抽	dk
仁	nb
择	dx
描	de
乌	rz
键	py
抢	do
蓝	ek
狗	qr
沈	vw
夺	gd
乘	mt
启	wj
钢	pl
晨	kg
订	sa
吹	jr
惜	ue
愈	oa
贴	li
询	sr
忆	uy
柳	fr
舒	om
绕	zh
欣	pr
井	bn
漂	vf
伏	ng
芬	eo
斤	pd
偶	nz
垂	me
咬	js
狱	qs
幼	zz
聊	cr
账	lc
寸	ds
盯	la
胁	qy
耻	ci
妨	zs
猎	qe
辟	xj
煌	un
逸	wr
哎	je
匠	hp
蛮	si
咨	tj
睹	lb
烤	ub
动	bz;
美	ug;
记	sy;
便	na;
资	tr;
委	mz;
克	ej;
选	wm;
证	sa;
族	sm;
坚	kx;
考	ba;
游	vs;
够	rj;
演	vw;
富	wa;
宣	wb;
竟	sk;
